product,md_one,md_two,md_three,md_four,md_five,new_srp
0373148-12,6500,3900,0,0,,11950
588350-2,0,0,0,0,,0
588400-2,0,0,0,0,,0
D15146-6,1200,0,0,0,,0
D15147-6,1200,0,0,0,,0
D15162-6,1900,1200,1200,0,,0
D15175-9,1500,0,0,0,,0
D15182-9,6000,0,0,0,,0
D15185-6,2000,0,0,0,,0
D15187-6,1800,0,0,0,,0
M1510-12,0,0,0,0,,0
M1543-19,4999.75,0,0,0,,6999.75
M1544-7,600,500,0,0,,0
M1545-8,2500,0,0,0,,3995
M1546-13,0,0,0,0,,6999.75
M1842-14,0,0,0,0,,0
RC1585-6,2200,1499.88,0,0,,0
RC1586-2,200,0,0,0,,0
RC1587-3,220,200,0,0,,0
RC1588-4,1500,0,0,0,,0
RC1589-6,1800,1500,0,0,,2999.75
RC1590-6,1800,0,0,0,,0
RC1591-6,1500,0,0,0,,0
RC1592-2,300,0,0,0,,0
RC1593-4,800,0,0,0,,0
RC1594-5,1000,0,0,0,,0
RC1595-2,300,0,0,0,,0
RC1596-12,500,500,0,0,,899.75
RC1597-15,700,500,0,0,,999.75
RD15217-2,500,0,0,0,,0
RD15219-3,500,0,0,0,,0
RD15222-3,1200,1000,900,900,,1495
RD15242-11,0,0,0,0,,19999.75
RD15243-12,6000,4499.88,0,0,,0
RD15243-4,3000,0,0,0,,0
RD15244-9,6500,0,0,0,,8999.75
RD15245-6,4500,0,0,0,,6995
RD15245-7,6500,0,0,0,,0
RD15246-4,3000,0,0,0,,3299.75
RD15246-6,4000,0,0,0,,6995
RD15247-6,4500,0,0,0,,5999.75
RD15248-8,7000,5000,4997.5,3500,,8999.75
RD15249-19,11475,11498.88,0,0,,16999.75
RD15249-6,1000,0,0,0,,2499.75
RD15250-12,8500,0,0,0,,11950
RD15250-3,1200,1000,0,0,,0
RD15252-7,3500,2800,0,0,,0
RD15252-8,6000,4997.5,0,0,,0
RD15253-8,7000,5000,4997.5,4000,,9999.75
RD15253-9,1500,0,0,0,,0
RD15254-23,10000,0,0,0,,17999.75
RD15254-6,5000,4999,0,0,,5999.75
RD15255-23,10000,10500,0,0,,17999.75
RD15255-6,4999.75,0,0,0,,5999.75
RD15256-21,7700,7000,6500,6000,,0
RD15256-8,6000,0,0,0,,7999.75
RD15257-8,0,0,0,0,,0
RD15258-11,6500,6500,0,0,,0
RD15259-10,6000,6999.75,0,0,,0
RD15259-6,2500,2000,1500,0,,0
RD15260-5,3500,2200,2000,1500,,0
RD15261-6,1000,0,0,0,,0
RD15262-9,3500,4000,3500,0,,0
RD15263-6,1800,0,0,0,,0
RD15264-6,2800,2299.75,0,0,,0
RD15267-16,9999.75,0,0,0,,10999.75
RD15269-8,4299.75,0,0,0,,5999.75
RD15274-28,18000,16950,0,0,,22999.75
RD15276-8,4000,0,0,0,,5999.75
RD15277-4,800,0,0,0,,0
RD15288-15,0,0,0,0,,5999.75
RD15289-6,4800,3200,0,0,,5995
RD15292-5,3500,2200,2200,0,,0
RD15294-14,10000,9999.75,0,0,,0
RD15295-9,4000,0,0,0,,0
RD15296-3,0,0,0,0,,399.75
RD16388-5,1400,1200,1200,0,,0
RW16317-9,2300,2000,0,0,,0
RW16318-6,1800,900,900,899,,2299.75
RW16319-7,2000,1800,0,0,,0
RW16320-14,2500,2000,0,0,,0
RW16321-4,900,800,0,0,,1299.75
RW16322-11,2800,2500,0,0,,0
RW16324-5,1400,1400,1200,1000,,0
RW16325-11,3000,2500,0,0,,0
RW16326-3,350,250,0,0,,0
RW16328-6,1500,1500,1149.88,0,,0
RW16329-11,5500,5000,3900,3000,,7999.75
RW16330-10,2500,2000,1500,0,,0
RW16334-7,1000,0,0,0,,1499.75
RW16335-10,2500,0,0,0,,0
RW1902-9,4900,4000,3000,0,,0
RW19115-6,2000,0,0,0,,0
RW19117-6,2000,1500,1500,0,,0
RWS15369-6,10000,0,0,0,,0
W15150-3,100,0,0,0,,250
W15151-2,75,0,0,0,,150
W15152-2,75,0,0,0,,250
W15320-3,700,500,0,0,,0
W15322-5,1000,0,0,0,,0
W15323-6,2400,0,0,0,,0
W15327-8,1500,1200,0,0,,0
W15328-4,400,0,0,0,,0
W15329-3,0,0,0,0,,0
123360-11,3000,0,0,0,,0
W16312-11,0,0,0,0,,0
W16312-16,3000,0,0,0,,0
001052-3,650,0,0,0,,0
001073-4,1050,800,0,0,,0
001074-4,1050,800,0,0,,0
002004-4,800,600,0,0,,0
003011-2,400,0,0,0,,0
003096-6,1150,750,0,0,,0
004006-2,400,300,0,0,,0
004035-3,650,500,400,0,,0
005008-2,400,300,200,0,,0
005034-3,650,500,250,0,,0
006009-2,400,350,200,0,,0
007010-2,400,300,200,0,,0
008040-3,650,600,0,0,,0
010047-3,650,400,0,0,,0
0101-1,0,0,0,0,,0
010127-4,1050,750,0,0,,0
010128-4,1050,750,0,0,,0
0102-1,0,0,0,0,,0
0103-1,0,0,0,0,,0
0104-1,0,0,0,0,,0
0105-1,0,0,0,0,,0
011020-6,1050,800,650,0,,0
012025-6,1050,900,650,0,,0
012091-6,1200,0,0,0,,0
017053-3,400,350,0,0,,0
017055-3,0,0,0,0,,0
017356-3,0,0,0,0,,0
017357-3,0,0,0,0,,0
017358-3,0,0,0,0,,0
018056-2,250,0,0,0,,0
018681-2,0,0,0,0,,0
019122-4,1050,650,0,0,,0
020059-2,0,0,0,0,,0
020061-3,500,0,0,0,,0
020062-3,0,0,0,0,,0
0201123-8,0,0,0,0,,0
0201-2,0,0,0,0,,0
0201299-6,0,0,0,0,,1299
020163-4,0,0,0,0,,0
020167-4,0,0,0,0,,0
020170-4,0,0,0,0,,0
020199-2,250,0,0,0,,0
0202068-4,500,0,0,0,,0
0202-10,0,0,0,0,,0
0202782-4WH,0,0,0,0,,0
0202786-4WH,0,0,0,0,,0
0202806-4WH,0,0,0,0,,0
0202814-4WH,0,0,0,0,,0
020309-4,0,0,0,0,,0
020318-1,180,0,0,0,,0
020322-4,350,0,0,0,,0
020323-4,350,0,0,0,,0
020326-2,0,0,0,0,,0
020327-1,0,0,0,0,,0
0203297-5,600,0,0,0,,0
0203302-5,0,0,0,0,,0
0203303-5,700,600,500,0,,0
0203308-5,0,0,0,0,,0
0203309-5,0,0,0,0,,0
0203313-5,0,0,0,0,,1299
0203316-5,0,0,0,0,,1299
0203321-5,0,0,0,0,,1299
0203-50,0,0,0,0,,0
0204064-5,500,0,0,0,,0
0204067-5,0,0,0,0,,0
0204071-5,0,0,0,0,,0
0204077-5,0,0,0,0,,0
0204078-5,0,0,0,0,,0
0204079-5,0,0,0,0,,0
0204082-5,0,0,0,0,,0
0204085-5,0,0,0,0,,1499
0204086-5,1000,900,0,0,,0
0204087-5,1000,900,0,0,,0
0204088-5,0,0,0,0,,1499
0204089-5,0,0,0,0,,1499
0204090-5,900,0,0,0,,0
0204091-5,0,0,0,0,,1499
0204-50,0,0,0,0,,0
0204-50-10,0,0,0,0,,0
0204-50-20,0,0,0,0,,0
0204-50-30,0,0,0,0,,0
0204-50-40,0,0,0,0,,0
0204-50-5,0,0,0,0,,0
0204-50-50,0,0,0,0,,0
0205-1,0,0,0,0,,0
020573-8,1200,0,0,0,,0
020575-8,1200,0,0,0,,0
020587-8,1200,0,0,0,,0
0206-1,0,0,0,0,,0
0206-1AG,0,0,0,0,,0
0206-1Y,0,0,0,0,,0
0207-1,0,0,0,0,,0
0207-5,0,0,0,0,,0
0208-10,0,0,0,0,,0
0208-12,0,0,0,0,,0
0208-3,0,0,0,0,,0
0208-3P,0,0,0,0,,0
0208-5,0,0,0,0,,0
0208-8,0,0,0,0,,0
0209-2,0,0,0,0,,0
0209-2MS,0,0,0,0,,0
0209-2P,0,0,0,0,,0
0210-1,0,0,0,0,,0
021106-6,1150,0,0,0,,0
021108-6,1150,0,0,0,,0
0211-1,0,0,0,0,,0
0212-1,0,0,0,0,,0
0213-1,0,0,0,0,,0
0214-1,0,0,0,0,,0
0215-10,0,0,0,0,,0
0216-1,0,0,0,0,,0
0217-1,0,0,0,0,,0
0218-2,0,0,0,0,,0
022095-6,1150,0,0,0,,0
022098-6,1150,750,0,0,,0
022099-6,1150,750,0,0,,0
022100-6,1150,750,0,0,,0
022102-6,1150,0,0,0,,0
022104-6,1150,750,0,0,,0
023109-6,1150,900,0,0,,0
025112-4,1050,1000,0,0,,0
025114-4,1050,1000,0,0,,0
025115-4,1000,1000,0,0,,1039.75
0291221-3,0,0,0,0,,0
0291535-4,0,0,0,0,,1299
0291544-3,0,0,0,0,,0
