id,Order Reference,Delivery Date,Product,Customer,Quantity,Unit Price,Description,Product Category,Weight,Salesperson,Type of Payment,Invoice Status,Order Status,Delivery Quantity,Barcode SKU,Subtotal,Variant SKU,Spatio Description
,SO 01356,3/31/2025 15:00,W16220-6,Furniture Depot - Salawag,1,220,W16220-6,All,,MPC Merchandiser,,To Invoice,sale,0,,220,,
,SO 01356,3/31/2025 15:00,W21469-4,Furniture Depot - Salawag,1,500,"W21469-4
Laminated - Leaf",Quadro - Wall Art,,MPC Merchandiser,,Nothing to Invoice,sale,0,,500,W21469-4,
,SO 01356,3/31/2025 15:00,W21468-4,Furniture Depot - Salawag,1,500,"W21468-4
Laminated - Leaf",Quadro - Wall Art,,MPC Merchandiser,,Nothing to Invoice,sale,0,,500,W21468-4,
,SO 01355,2/28/2025 15:00,W1765-18,Furniture Depot - Salawag,1,"1,500.00","W1765-18
Print On Glass - Pier Of Solitude (Set Of 3)",Quadro - Wall Art,,MPC Merchandiser,,Fully Invoiced,sale,1,,"1,500.00",W1765-18,
,SO 01357,1/31/2025 16:00,1324066-1,Furniture Depot - Salawag,2,120,"1324066-1
Assorted Wall Decor",Quadro - Wall Art,0.25,MPC Merchandiser,,Fully Invoiced,sale,2,,240,,
,SO 01357,1/31/2025 16:00,O20038-6,Furniture Depot - Salawag,1,280,"O20038-6
Rubber Mat
(4pcs/pack) Pink",Quadro - Others,,MPC Merchandiser,,Fully Invoiced,sale,1,,280,,
,SO 01357,1/31/2025 16:00,O20036-6,Furniture Depot - Salawag,1,280,"O20036-6
Rubber Mat
(4pcs/pack) Brown",Quadro - Others,,MPC Merchandiser,,Fully Invoiced,sale,1,,280,,
,SO 01357,1/31/2025 16:00,162450-9,Furniture Depot - Salawag,1,"1,500.00","162450-9
tiger",Quadro - Wall Art,,MPC Merchandiser,,Fully Invoiced,sale,1,,"1,500.00",162450-9,
,SO 01357,1/31/2025 16:00,C1514-2,Furniture Depot - Salawag,0,0,"C1514-2
Round Plastic Wall clock (white)",Quadro - Clock,,MPC Merchandiser,,Fully Invoiced,sale,0,,,C1514-2,
,SO 01357,1/31/2025 16:00,17-02082-3WH,Furniture Depot - Salawag,1,350,"17-02082-3WH
clock",Quadro - Clock,,MPC Merchandiser,,Fully Invoiced,sale,1,,350,17-02082-3WH,
,SO 01351,2/28/2025 11:00,1223010-1,Rustan's FS Alabang Town Center,2,499,"1223010-1
 Vase Blue",Quadro - Table Décor,0.82,MPC Merchandiser,,Fully Invoiced,sale,2,483760,998,,
,SO 01351,2/28/2025 11:00,624013-6,Rustan's FS Alabang Town Center,1,599.75,"624013-6
Hanging Ivy Leaves (green)",Floral,,MPC Merchandiser,,Fully Invoiced,sale,1,484835,599.75,,
