id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,D17252-10,SMH Makati,SMHMK/Stock,1.00
,D17255-10,SMH Makati,SMHMK/Stock,2.00
,D18162-10,SMH Makati,SMHMK/Stock,2.00
,D18187-10,SMH Makati,SMHMK/Stock,1.00
,D18247-10,SMH Makati,SMHMK/Stock,1.00
,D1951-10,SMH Makati,SMHMK/Stock,3.00
,D21060-7N,SMH Makati,SMHMK/Stock,3.00
,D21062-7N,SMH Makati,SMHMK/Stock,3.00
,D22001-8,SMH Makati,SMHMK/Stock,1.00
,M1855-27,SMH Makati,SMHMK/Stock,1.00
,D1788-6,SMH Makati,SMHMK/Stock,1.00
,W19112-6,SMH Makati,SMHMK/Stock,2.00
,W19113-6,SMH Makati,SMHMK/Stock,3.00
,W19114-6,SMH Makati,SMHMK/Stock,2.00
,W19173-13,SMH Makati,SMHMK/Stock,1.00
,W19175-13,SMH Makati,SMHMK/Stock,3.00
,W19326-11,SMH Makati,SMHMK/Stock,1.00
,C1833-6,OH Megamall,OHMEG/Stock,1.00
,D22001-8,SMH Mall of Asia,SMHMO/Stock,1.00
,D22008-20,SMH North Edsa,SMHNE/Stock,1.00
,M1665-10,SMH North Edsa,SMHNE/Stock,1.00
,M1705-19,SMH North Edsa,SMHNE/Stock,1.00
,M1706-19,SMH Ortigas,SMHOR/Stock,3.00
,M1789-12,OH Megamall,OHMEG/Stock,1.00
,M1790-12,OH Megamall,OHMEG/Stock,1.00
,M1919-34,SMH Ortigas,SMHOR/Stock,1.00
,M21010-18,SMH North Edsa,SMHNE/Stock,1.00
,M21053-23,SMH North Edsa,SMHNE/Stock,1.00
,W19102-2,SMH North Edsa,SMHNE/Stock,1.00
,W19113-6,SMH North Edsa,SMHNE/Stock,2.00
,W1921-8,SMH Ortigas,SMHOR/Stock,1.00
,W19215-16,SMH North Edsa,SMHNE/Stock,2.00
,W19217-16,SMH North Edsa,SMHNE/Stock,2.00
,W19299-10,SMH Ortigas,SMHOR/Stock,2.00
,W21008-6,SMH Ortigas,SMHOR/Stock,1.00
,W21037-9,OH North Edsa,OHNE/Stock,1.00
,WS19122-7,SMH North Edsa,SMHNE/Stock,1.00
,C1919-5,OH Clark,OHCLK/Stock,1.00
,M1537-24,OH Clark,OHCLK/Stock,1.00
,M1852-22,OH Clark,OHCLK/Stock,2.00
,M1853-22N,OH Clark,OHCLK/Stock,2.00
,M1856-22,OH Clark,OHCLK/Stock,1.00
,T18193-2,OH Clark,OHCLK/Stock,2.00
,T18196-2,OH Clark,OHCLK/Stock,1.00
,T18197-2,OH Clark,OHCLK/Stock,2.00
,T19122-4,OH Clark,OHCLK/Stock,1.00
,T19141-3,OH Clark,OHCLK/Stock,1.00
