id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,D17252-10,SMH Makati,SMHMK/Stock,1
,D17255-10,SMH Makati,SMHMK/Stock,2
,D18161-10,SMH Makati,SMHMK/Stock,1
,D18162-10,SMH Makati,SMHMK/Stock,2
,D18187-10,SMH Makati,SMHMK/Stock,1
,D18247-10,SMH Makati,SMHMK/Stock,1
,D1951-10,SMH Makati,SMHMK/Stock,3
,D1988-12,SMH Makati,SMHMK/Stock,1
,D1994-12,SMH Makati,SMHMK/Stock,1
,D21060-7N,SMH Makati,SMHMK/Stock,3
,D21062-7N,SMH Makati,SMHMK/Stock,3
,D22001-8,SMH Makati,SMHMK/Stock,1
,M1855-27,SMH Makati,SMHMK/Stock,1
,D1788-6,SMH Makati,SMHMK/Stock,1
,W19112-6,SMH Makati,SMHMK/Stock,2
,W19113-6,SMH Makati,SMHMK/Stock,3
,W19114-6,SMH Makati,SMHMK/Stock,2
,W19173-13,SMH Makati,SMHMK/Stock,2
,W19175-13,SMH Makati,SMHMK/Stock,3
,W19326-11,SMH Makati,SMHMK/Stock,1
,W19327-11,SMH Makati,SMHMK/Stock,1
,C1833-6,OH Megamall,OHMEG/Stock,1
,D17244-10,SMH Mall of Asia,SMHMO/Stock,1
,D18141-8Y,SMH Ortigas,SMHOR/Stock,1
,D18176-12,SMH North Edsa,SMHNE/Stock,1
,D18218-6,SMH Ortigas,SMHOR/Stock,1
,D1993-12,SMH Mall of Asia,SMHMO/Stock,2
,D21003-7,SMH Ortigas,SMHOR/Stock,0
,D21061-12N,SMH Ortigas,SMHOR/Stock,0
,D22001-8,OH Megamall,OHMEG/Stock,2
,D22001-8,SMH Mall of Asia,SMHMO/Stock,1
,D22008-20,SMH North Edsa,SMHNE/Stock,1
,M1665-10,SMH North Edsa,SMHNE/Stock,1
,M1705-19,SMH North Edsa,SMHNE/Stock,3
,M1706-19,SMH Ortigas,SMHOR/Stock,3
,M1789-12,OH Megamall,OHMEG/Stock,2
,M1790-12,OH Megamall,OHMEG/Stock,1
,M1919-34,SMH Ortigas,SMHOR/Stock,3
,M21010-18,SMH North Edsa,SMHNE/Stock,1
,M21051-10,SMH Mall of Asia,SMHMO/Stock,1
,M21052-16,SMH Mall of Asia,SMHMO/Stock,2
,M21053-23,SMH Mall of Asia,SMHMO/Stock,2
,M21053-23,SMH North Edsa,SMHNE/Stock,1
,T21013-1,OH North Edsa,OHNE/Stock,1
,T21066-1,OH Mall of Asia,OHMOA/Stock,2
,W19102-2,SMH North Edsa,SMHNE/Stock,1
,W19113-6,SMH North Edsa,SMHNE/Stock,2
,W19113-6,SMH Ortigas,SMHOR/Stock,0
,W19185-13,SMH Mall of Asia,SMHMO/Stock,2
,W1921-8,SMH Ortigas,SMHOR/Stock,1
,W19215-16,SMH North Edsa,SMHNE/Stock,2
,W19217-16,SMH North Edsa,SMHNE/Stock,2
,W19299-10,SMH Ortigas,SMHOR/Stock,2
,W1963-12,SMH Mall of Asia,SMHMO/Stock,1
,W21002-10,OH Megamall,OHMEG/Stock,1
,W21008-6,SMH Ortigas,SMHOR/Stock,1
,W21037-9,OH Mall of Asia,OHMOA/Stock,1
,W21037-9,OH North Edsa,OHNE/Stock,1
,W21098-7,SMH Ortigas,SMHOR/Stock,0
,WS19122-7,SMH North Edsa,SMHNE/Stock,1
,W21168-8,SMH North Edsa,SMHNE/Stock,1
,C1836-2,OH Clark,OHCLK/Stock,1
,C1919-5,OH Clark,OHCLK/Stock,1
,M1537-24,OH Clark,OHCLK/Stock,1
,M1852-22,OH Clark,OHCLK/Stock,2
,M1853-22N,OH Clark,OHCLK/Stock,2
,M1856-22,OH Clark,OHCLK/Stock,1
,O1802-1,OH Clark,OHCLK/Stock,3
,O1803-1,OH Clark,OHCLK/Stock,5
,O1806-1,OH Clark,OHCLK/Stock,1
,O1827-1,OH Clark,OHCLK/Stock,2
,O20020-1,OH Clark,OHCLK/Stock,2
,O20021-1,OH Clark,OHCLK/Stock,2
,O20023-1,OH Clark,OHCLK/Stock,3
,O20025-1,OH Clark,OHCLK/Stock,2
