Product,OH SKU,OH SRP,SMH SKU,SMH PRICE
824010-9,203039227145,2999,203839229056,3500
824009-11,203039227145,2999,203839229056,3500
W21692-12,203039227745,3999,203839240950,3999
824052-31,203039235198,12999,203839232642,12999
824051-27,203039235197,10999,203839233255,10999
824036-31,203039235190,12999,203839232642,12999
824035-27,203039235189,10999,203839233255,10999
824032-31,203039235186,12999,203839232642,12999
824031-27,203039235185,10999,203839233255,10999
824038-20,203039235176,6999,203839242795,6999
824037-13,203039235175,3999,203839233256,3999
M1724-19,203038240675,7999.75,203839228495,7999.75
1323112-13,203039227747,3999,203839240952,3999
123379-3,203039235392,6999,0,0
123378-3,203039235391,6999,0,0
123376-3,203039235394,6999,0,0
123377-3,203039235393,6999,0,0
W21694-12,203039227735,3999,203839240952,3999
W22062-12,203039232516,6999,203839229052,5000
W1964-12,203039212020,4500,203839229024,4500
W1963-12,203039212020,4500,203839229024,4500
W19185-13,203039227747,3999,203839240952,3999
123050-20,203039234720,19999,0,22999
122044-20G,203039226632,22999.75,203839245140,17999
824004-12,203039214052,4299.75,203839241026,4999
824003-5,203039232457,1499.88,203839229016,1500
824008-7,203039123116,1979.85,203839231950,2000
824011-11,203039214052,4299.75,203839241026,4999
824005-12,203039214052,4299.75,203839241026,4999
824007-5,203039123116,1979.85,203839229016,1500
824006-5,203039123116,1979.85,203839229016,1500
T19148-1,203039229249,5999.75,0,0
1123050-1,203039229251,6999.75,0,0
123428-8,203039235169,6999,203839245135,6999
123426-8,203039235168,6999,203839245136,6999
123412-12,203039235171,10999,203839232688,11999
123406-10,203039235170,8999,203839222595,8999
123416-7,203039235167,6999,203839245136,6999
123414-7,203039235165,6999,203839245135,6999
501993-19CG,203039202875,12999.75,0,0
123435-12,203039235089,11999,203839232688,11999
123498-10,203039235088,8999,203839258792,8999
123497-10,203039235087,8999,203839258792,8999
123381-11,203039232516,6999,203839245135,6999
123382-12,203039232518,7999,203839223720,7999
824001-13,203039214053,4799.75,203839241026,4999
DS1952-20,203039201549,17999,203839223716,17999
W22035-25,203039230980,12999,203839242115,12999
W22032-25,203039230980,12999,203839242112,12999
W22031-25,203039230980,12999,203839242111,12999
122050-15,203039230980,12999,203839229027,7000
122038-8,203039129027,6999.75,203839245135,6999
122037-8,203039129027,6999.75,203839245134,6999
W21360-8,203039232064,2799,203839243401,2799
122049-15,203039230980,12999,203839229027,7000
122009-8,203039188114,3499.88,203839229056,3500
W21359-8,203039232064,2799,203839243400,2799
123354-10,203039233035,9999,203839260593,9999
123424-12,203039230980,12999,203839232688,11999
122019-8,203039230980,12999,203839229027,7000
122020-8,203039230980,12999,203839229027,7000
W22019-25,203039230980,12999,203839242109,12999
122048-15,203039230980,12999,203839229027,7000
SW21680-12,203039227686,3999,203839240952,3999
SW21054-12,203039227686,3999,203839240952,3999
W18364-10,203039224580,2499.88,0,0
W18353-9,203039193632,1999.88,0,0
703209-3,203039186019,6499.88,0,0
M1853-27,203039232125,7999,203839233255,10999
M1853-22,203039228068,6999,203839195452,9999.75
M1769-12,203039104679,2999.88,203839231947,3500
M1767-12,203039104679,2999.88,203839231945,3500
502905-10,203039186092,4999.88,203839229027,7000
1741701-14,203039146360,7000,203839229022,8000
M21012-19,203039195551,12999.75,203839232642,12999
M1511-12,203039129022,3999.75,203839136866,3999.75
123405-10,203039234719,9999,203839260593,9999
1323006-5,203039228409,899,203839245160,899
1323005-5,203039228409,899,203839245160,899
123016-20,203039226633,22999.75,203839222615,14999
123479-8,203039197336,6999.75,203839222602,6999
123437-16,203039233034,18999,203839222615,14999
123127-10,203039223843,8999.75,0,0
123326-10,203039233036,9999,203839223699,9999
123325-10,203039233035,9999,203839223699,9999
123392-5,203039223848,4999.75,203839241026,4999
1323013-12,203039201972,10999.75,203839232640,10999
1323012-12,203039201972,10999.75,203839232640,10999
123448-4,203039231878,2799,203839243401,2799
123447-4,203039231877,2799,203839243400,2799
123446-4,203039231876,2799,203839243402,2799
123443-4,203039231876,2799,203839243401,2799
123005-18,203039227044,9999,203839223699,9999
123124-7,203039197338,6999.75,203839217974,6999
