id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,D17255-10,SMH Makati,SMHMK/Stock,1
,D18162-10,SMH Makati,SMHMK/Stock,2
,D18247-10,SMH Makati,SMHMK/Stock,1
,D21060-7N,SMH Makati,SMHMK/Stock,2
,D21062-7N,SMH Makati,SMHMK/Stock,1
,D1788-6,SMH Makati,SMHMK/Stock,1
,C1833-6,OH Megamall,OHMEG/Stock,1
,M1665-10,SMH North Edsa,SMHNE/Stock,1
,M1705-19,SMH North Edsa,SMHNE/Stock,1
,M1706-19,SMH Ortigas,SMHOR/Stock,3
,M21010-18,SMH North Edsa,SMHNE/Stock,1
,M21053-23,SMH North Edsa,SMHNE/Stock,1
,W19102-2,SMH North Edsa,SMHNE/Stock,1
,W19215-16,SMH North Edsa,SMHNE/Stock,2
,W19217-16,SMH North Edsa,SMHNE/Stock,2
,W19299-10,SMH Ortigas,SMHOR/Stock,2
,WS19122-7,SMH North Edsa,SMHNE/Stock,1
,M1537-24,OH Clark,OHCLK/Stock,1
,W1948-10,OH Clark,OHCLK/Stock,1
,W21005-10,OH Clark,OHCLK/Stock,1
,W21035-9,OH Clark,OHCLK/Stock,1
,W21044-12,OH Clark,OHCLK/Stock,1
,W21045-12,OH Clark,OHCLK/Stock,2
,W21049-12,OH Clark,OHCLK/Stock,1
,W21162-10,OH Clark,OHCLK/Stock,1
,1175169-8PS,SMH Clark,SMHCL/Stock,1
,M1919-34,SMH Clark,SMHCL/Stock,1
,SW21320-8,SMH Clark,SMHCL/Stock,1
,W19114-6,SMH Clark,SMHCL/Stock,1
,W19185-13,SMH Clark,SMHCL/Stock,1
,W21168-8,SMH Clark,SMHCL/Stock,1
,M1717-12,OH Dasma,OHDAS/Stock,1
,M1853-27,OH Dasma,OHDAS/Stock,1
,M21059-27,OH Cabanatuan,OHCAB/Stock,1
,W21044-12,OH Cabanatuan,OHCAB/Stock,1
,M21029-29,OH Lucena,OHLUC/Stock,1
,T21013-1,OH Lucena,OHLUC/Stock,1
,W19185-13,SMH Lipa,SMHLI/Stock,1
,D22001-8,SMH Pampanga,SMHPA/Stock,1
,D20059-5,OH Pampanga,OHPAM/Stock,1
,T21013-1,OH Pampanga,OHPAM/Stock,1
,TS19132-2,OH Pampanga,OHPAM/Stock,1
,W21720-12,OH Pampanga,OHPAM/Stock,1
,1086027-10WH,OH Cebu,OHCEB/Stock,1
,1086028-10BK,OH Cebu,OHCEB/Stock,1
,1621858-6,OH Cebu,OHCEB/Stock,1
,17-06112-5-067,OH Cebu,OHCEB/Stock,1
,D1645-6,OH Cebu,OHCEB/Stock,1
,D20043-10,OH Cebu,OHCEB/Stock,1
,M1653-12,OH Cebu,OHCEB/Stock,1
,M1853-15,OH Cebu,OHCEB/Stock,3
,M1853-22,OH Cebu,OHCEB/Stock,1
,SW21193-8,OH Cebu,OHCEB/Stock,1
,SW21194-8,OH Cebu,OHCEB/Stock,1
,SW21196-8,OH Cebu,OHCEB/Stock,1
,SW21197-8,OH Cebu,OHCEB/Stock,1
,W16195-10,OH Cebu,OHCEB/Stock,2
,W16199-10,OH Cebu,OHCEB/Stock,1
,W16211-10,OH Cebu,OHCEB/Stock,2
,W16255-6,OH Cebu,OHCEB/Stock,1
,W18254-10N,OH Cebu,OHCEB/Stock,1
,W18255-10N,OH Cebu,OHCEB/Stock,1
,W1981-16,OH Cebu,OHCEB/Stock,2
,W21081-7,OH Cebu,OHCEB/Stock,1
,W21160-6,OH Cebu,OHCEB/Stock,1
,W18161-11,OH Davao,OHDV/Stock,2
,M1703-12,OH Lanang,OHLAN/Stock,3
,O1803-1,OH Lanang,OHLAN/Stock,3
,O20022-1,OH Lanang,OHLAN/Stock,3
,O20029-1,OH Lanang,OHLAN/Stock,2
,W21160-6,OH Lanang,OHLAN/Stock,1
,W21720-12,OH Lanang,OHLAN/Stock,1
,C21003-4,OH Mandurriao,OHMDR/Stock,2
,D18156-14,OH Mandurriao,OHMDR/Stock,3
,D20064-10,OH Mandurriao,OHMDR/Stock,1
,M1512-21,OH Mandurriao,OHMDR/Stock,1
,M21021-2,OH Mandurriao,OHMDR/Stock,1
,M21021-3,OH Mandurriao,OHMDR/Stock,1
,M21021-4,OH Mandurriao,OHMDR/Stock,1
,W21064-7,OH Mandurriao,OHMDR/Stock,1
,W21082-7,OH Mandurriao,OHMDR/Stock,1
,W21738-12,OH Mandurriao,OHMDR/Stock,1
,5011157-39,SMH Mandurriao,SMHMD/Stock,1
,BM1913-19,SMH Mandurriao,SMHMD/Stock,1
,D1942-15,SMH Mandurriao,SMHMD/Stock,1
,M21053-23,SMH Mandurriao,SMHMD/Stock,2
,RM250,SMH Mandurriao,SMHMD/Stock,4
,RW16312-10,SMH Mandurriao,SMHMD/Stock,2
,W21490-8,SMH Mandurriao,SMHMD/Stock,1
,0373905-7,SMH Davao,SMHDV/Stock,1
,RM250,SMH Davao,SMHDV/Stock,3
,W19112-6,SMH Davao,SMHDV/Stock,1
,W19217-16,SMH Davao,SMHDV/Stock,1
,W19173-13,SMH Las Pinas,SMHLP/Stock,1
,W21119-8,SMH Ortigas,SMHOR/Stock,1
,W21121-8,SMH Ortigas,SMHOR/Stock,1
,W21005-10,OH Lanang,OHLAN/Stock,2
,D1987-12,SMH Cebu,SMHCE/Stock,2
,W21122-8,SMH Cebu,SMHCE/Stock,1
,1177136-8,OH Bacolod,OHBCD/Stock,1
,D1798-6BL,OH Bacolod,OHBCD/Stock,1
,D20106-17,OH Bacolod,OHBCD/Stock,1
,M21051-10,OH Bacolod,OHBCD/Stock,1
,SW21289-8,OH Bacolod,OHBCD/Stock,1
,SW21345-8,OH Bacolod,OHBCD/Stock,1
