id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,X20034-1,,K2/Stock/Rack A-01,9.00
,X20062-1,,K2/Stock/Rack C-15,33.00
,X20063-1,,K2/Stock/Rack B-08,18.00
,X20063-1,,K2/Stock/Rack B-10,13.00
,X20073-1,,K2/Stock/Rack B-08,7.00
,X20102-1,,K2/Stock/Rack A-01,14.00
,X20102-1,,K2/Stock/Rack C-09,40.00
,X20102-1,,K2/Stock/Rack D-01,265.00
,X20102-1,,K2/Stock/Rack E-03,182.00
,X20104-1,,K2/Stock/Rack C-12,30.00
,X20104-1,,K2/Stock/Rack D-05,336.00
,X20114-1,,K2/Stock/Rack A-01,2.00
,X20114-1,,K2/Stock/Rack E-05,209.00
,X20116-1,,K2/Stock/Rack A-01,35.00
,X20116-1,,K2/Stock/Rack E-02,177.00
,X20118-1,,K2/Stock/Rack D-10,2.00
,X20118-1,,K2/Stock/Rack E-01,104.00
,X20118-1,,K2/Stock/Rack E-02,30.00
,X20118-1,,K2/Stock/Rack E-04,51.00
,X20120-1,,K2/Stock/Rack C-13,105.00
,X20120-1,,K2/Stock/Rack D-10,4.00
,X20120-1,,K2/Stock/Rack D-16,12.00
,X21016-1,,K2/Stock/Rack D-12,17.00
,X21016-1,,K2/Stock/Rack D-15,255.00
,X21017-1,,K2/Stock/Rack C-05,33.00
,X21017-1,,K2/Stock/Rack D-17,32.00
,X21018-1,,K2/Stock/Rack C-01,2.00
,X21018-1,,K2/Stock/Rack C-12,42.00
,X21018-1,,K2/Stock/Rack E-13,114.00
,X21019-1,,K2/Stock/Rack D-07,45.00
,X21019-1,,K2/Stock/Rack D-11,39.00
,X21019-1,,K2/Stock/Rack D-13,105.00
,X21022-1,,K2/Stock/Rack A-01,44.00
,X21022-1,,K2/Stock/Rack D-04,6.00
,X21022-1,,K2/Stock/Rack D-23,72.00
,X21022-1,,K2/Stock/Rack E-09,5.00
,X21023-1,,K2/Stock/Rack C-07,103.00
,X21034-1,,K2/Stock/Rack C-02,45.00
,X21034-1,,K2/Stock/Rack D-05,35.00
,X21034-1,,K2/Stock/Rack D-13,11.00
,X21034-1,,K2/Stock/Rack E-08,287.00
,X21035-1,,K2/Stock/Rack D-13,176.00
,X21035-1,,K2/Stock/Rack D-14,72.00
,X21036-1,,K2/Stock/Rack A-01,4.00
,X21036-1,,K2/Stock/Rack C-02,1.00
,X21036-1,,K2/Stock/Rack E-02,60.00
,X21036-1,,K2/Stock/Rack E-15,93.00
,X21036-1,,K2/Stock/Rack E-18,94.00
,X21037-1,,K2/Stock/Rack B-11,19.00
,X21037-1,,K2/Stock/Rack D-04,21.00
,X21037-1,,K2/Stock/Rack D-10,115.00
,X21037-1,,K2/Stock/Rack D-11,72.00
,X21037-1,,K2/Stock/Rack D-14,72.00
,X21042-1,,K2/Stock/Rack D-08,9.00
,X21043-1,,K2/Stock/Rack C-01,16.00
,X21043-1,,K2/Stock/Rack D-07,4.00
,X21043-1,,K2/Stock/Rack D-17,8.00
,X21043-1,,K2/Stock/Rack D-18,52.00
,X21043-1,,K2/Stock/Rack E-17,36.00
,X21050-1,,K2/Stock/Rack A-01,88.00
,X21050-1,,K2/Stock/Rack D-07,56.00
,X21050-1,,K2/Stock/Rack E-11,203.00
,X21051-1,,K2/Stock/Rack A-09,13.00
,X21051-1,,K2/Stock/Rack D-16,16.00
,X21051-1,,K2/Stock/Rack D-18,90.00
,X21051-1,,K2/Stock/Rack E-17,70.00
,X21052-1,,K2/Stock/Rack B-11,39.00
,X21052-1,,K2/Stock/Rack E-09,12.00
,X21052-1,,K2/Stock/Rack E-10,27.00
,X21052-1,,K2/Stock/Rack E-15,1.00
,X21052-1,,K2/Stock/Rack E-17,25.00
,X21053-1,,K2/Stock/Rack B-11,20.00
,X21053-1,,K2/Stock/Rack D-23,1.00
,X21053-1,,K2/Stock/Rack E-17,3.00
,X21073-1,,K2/Stock/Rack E-09,26.00
,X21088-1,,K2/Stock/Rack C-13,7.00
,X21093-1,,K2/Stock/Rack B-11,7.00
,X21093-1,,K2/Stock/Rack D-16,9.00
,X21093-1,,K2/Stock/Rack E-07,7.00
,X21103-1,,K2/Stock/Rack A-09,2.00
,X21103-1,,K2/Stock/Rack B-12,4.00
,X21103-1,,K2/Stock/Rack D-17,8.00
,X21105-1,,K2/Stock/Rack A-09,2.00
,X21105-1,,K2/Stock/Rack B-11,8.00
,X21105-1,,K2/Stock/Rack B-12,10.00
,X21105-1,,K2/Stock/Rack E-12,1.00
,X21105-1,,K2/Stock/Rack E-18,5.00
,X21106-1,,K2/Stock/Rack E-06,309.00
,X21107-1,,K2/Stock/Rack C-07,8.00
,X21107-1,,K2/Stock/Rack C-11,39.00
,X21151-1,,K2/Stock/Rack D-03,223.00
,X21151-1,,K2/Stock/Rack E-18,13.00
,X21152-1,,K2/Stock/Rack A-09,2.00
,X21152-1,,K2/Stock/Rack C-12,7.00
,X21152-1,,K2/Stock/Rack E-14,13.00
,X21152-1,,K2/Stock/Rack E-17,4.00
,X21153-1,,K2/Stock/Rack B-10,4.00
,X21153-1,,K2/Stock/Rack E-02,9.00
,X21153-1,,K2/Stock/Rack E-12,32.00
,X21154-1,,K2/Stock/Rack D-16,34.00
,X21155-1,,K2/Stock/Rack E-13,183.00
,X21156-1,,K2/Stock/Rack B-11,2.00
,X21156-1,,K2/Stock/Rack C-01,31.00
,X21156-1,,K2/Stock/Rack C-03,72.00
,X21156-1,,K2/Stock/Rack C-11,8.00
,X21156-1,,K2/Stock/Rack C-12,33.00
,X21156-1,,K2/Stock/Rack D-10,142.00
,X21156-1,,K2/Stock/Rack E-17,52.00
,X21158-1,,K2/Stock/Rack C-01,8.00
,X21158-1,,K2/Stock/Rack D-10,23.00
,X21158-1,,K2/Stock/Rack D-11,7.00
,X21158-1,,K2/Stock/Rack D-23,3.00
,X21159-1,,K2/Stock/Rack C-01,2.00
,X21159-1,,K2/Stock/Rack D-15,57.00
,X21160-1,,K2/Stock/Rack C-03,20.00
,X21160-1,,K2/Stock/Rack C-05,77.00
,X21160-1,,K2/Stock/Rack C-07,122.00
,X21160-1,,K2/Stock/Rack D-05,9.00
,X21160-1,,K2/Stock/Rack D-14,69.00
,X21160-1,,K2/Stock/Rack D-16,16.00
,X21160-1,,K2/Stock/Rack D-17,3.00
,X21161-1,,K2/Stock/Rack D-06,1.00
,X21161-1,,K2/Stock/Rack E-12,32.00
,X21162-1,,K2/Stock/Rack C-09,30.00
,X21162-1,,K2/Stock/Rack D-06,28.00
,X21162-1,,K2/Stock/Rack D-08,21.00
,X21163-1,,K2/Stock/Rack D-01,40.00
,X21163-1,,K2/Stock/Rack D-04,10.00
,X21164-1,,K2/Stock/Rack A-01,56.00
,X21164-1,,K2/Stock/Rack B-11,2.00
,X21164-1,,K2/Stock/Rack C-02,4.00
,X21164-1,,K2/Stock/Rack E-12,82.00
,X21164-1,,K2/Stock/Rack E-15,60.00
,X21165-1,,K2/Stock/Rack B-11,36.00
,X21165-1,,K2/Stock/Rack E-14,8.00
,X21165-1,,K2/Stock/Rack E-17,18.00
,X21166-1,,K2/Stock/Rack E-12,80.00
,1PL19008-13,Dominga Warehouse,DOM/Stock/G Office Hallway HW,317.00
,1PL19011-9.75,Dominga Warehouse,DOM/Stock/G Office Hallway HW,28.00
,1PL19016-14,Dominga Warehouse,DOM/Stock/G Office Hallway HW,5.00
,UNKNOWN ITEM,Dominga Warehouse,DOM/Stock/G Office Hallway HW,109.00
,1PL19015-14,Dominga Warehouse,DOM/Stock/G Office Hallway HW,20.00
,0204-50,Dominga Warehouse,DOM/Stock/G Office Hallway HW,"1,269.00"
